listing_url,featured
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi160,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qh360,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qh162,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qh144,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qh058,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00nq513,True
https://garasi.id/mobil-bekas/2015-toyota-avanza/00po546,True
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qg753,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qg419,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qe344,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00q0246,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pz595,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00px710,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00px274,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pw481,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qh263,True
https://garasi.id/mobil-bekas/2016-toyota-avanza/00po399,True
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pw472,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pw463,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pw453,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pw441,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00ps959,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh282,True
https://garasi.id/mobil-bekas/2016-toyota-kijang-innova/00qe802,False
https://garasi.id/mobil-bekas/2016-toyota-kijang-innova/00qc834,False
https://garasi.id/mobil-bekas/2018-toyota-kijang-innova/00qi219,False
https://garasi.id/mobil-bekas/2017-toyota-kijang-innova/00qb999,False
https://garasi.id/mobil-bekas/2017-toyota-kijang-innova/00qb922,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qj201,False
https://garasi.id/mobil-bekas/2016-toyota-kijang-innova/00pz009,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pk680,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00ph896,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh207,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qg343,True
